business_name,review_id,rating,text,time_created,preprocessed_text
Wally's Delicatessen,EigG6zNsSga1AVUmdIqO5A,5,"In love, in love, in love. What can I say ? It's just paradise to me. How can we concentrate all this good food in a small place like this one. 
I really...",2016-04-16 04:03:17,love love love say paradise concentrate good food small place like one really
Wally's Delicatessen,QNPfZ0iLte7SfbI5JCmdAg,5,The smell will kill you delicious food you'll buy a lot of fantastic produce at a fair price.,2022-01-21 09:46:18,smell kill delicious food youll buy lot fantastic produce fair price
Wally's Delicatessen,uIjBUlybIEFc5qSHWsQ-Jw,4,"Amazing selection of cheeses, snacks, coffee syrups, and all sorts of other things. They stock my favourite peanut butter puffs too- thank you!! Pleasant...",2018-02-11 12:03:27,amazing selection cheese snack coffee syrup sort thing stock favourite peanut butter puff thank pleasant
Madame Fromage,OsjXahaBzenZDa1XQsQEEA,5,Probably my favorite place to eat in Cardiff. Every time I go back to visit my family in Cardiff I have to make a point of eating at madame fromage. The...,2018-06-10 12:06:11,probably favorite place eat cardiff every time go back visit family cardiff make point eating madame fromage
Madame Fromage,bDBucv1EN-GJ2CLRthqxWg,3,"was super excited to try this place but alas it is no more :( it was inside one of the many arcades around the area, and the place like it's being torn down.",2022-09-22 09:52:58,super excited try place ala inside one many arcade around area place like torn
Madame Fromage,C-e-moUGAmj0xZVZ2pGf1A,5,"A little hidden away but worth the search to find!!
I love cheese so this was a wonderful place for me!!! Excellent customer service and friendly wonderful...",2020-01-08 13:18:24,little hidden away worth search find love cheese wonderful place excellent customer service friendly wonderful
Coffee Barker,Se2LD859Uc9Ji6uzoR6NLA,5,"We visited Coffee Barker after exploring the Cardiff city center area to try their afternoon tea. 

We ordered: 
- Afternoon tea for 3
- Hot chocolate
-...",2023-01-23 13:20:20,visited coffee barker exploring cardiff city center area try afternoon tea ordered afternoon tea 3 hot chocolate
Coffee Barker,-skgomeqQH1EFD9D_5oCFQ,5,"Wonderful coffee shop in a Victorian arcade! My latte was smooth, and even though the tables inside were full, sitting outside with heat lamps on a...",2022-03-18 04:14:06,wonderful coffee shop victorian arcade latte smooth even though table inside full sitting outside heat lamp
Coffee Barker,52-nfOOfvEGVszGfFMR-tw,5,Beautiful cafe in the city center with very nice staff and reasonably priced. Can definitely recommend.,2022-06-30 04:14:40,beautiful cafe city center nice staff reasonably priced definitely recommend
The Potted Pig,qWUWcxYwBZW1IzV86seXLA,5,"Great service and brilliant staff, food always good.

always looking forward to returning",2020-12-15 05:09:41,great service brilliant staff food always good always looking forward returning
The Potted Pig,H5YjvT7_cSotycOAE-DKbQ,4,"Stars for the atmosphere, waitstaff and food.
It's a special place in Cardiff, downstairs in an old bank vault. It seems like a place for a ""special"" meal....",2022-08-21 06:32:14,star atmosphere waitstaff food special place cardiff downstairs old bank vault seems like place special meal
The Potted Pig,Yk329bjzqZqCBnGJAfzoMw,3,"Service - perfect, food - average, almost every dish extremely salty, so impossible to eat, even stake.",2022-12-12 08:57:47,service perfect food average almost every dish extremely salty impossible eat even stake
Chapter,8mO4QRzws9da-mTHkBBLVQ,5,"IRIS PRIZE 2010

The Iris Prize is an international film competition, celebrating short films made by lesbian,gay and Queer filmmakers.  It has it's home in...",2010-10-01 04:36:47,iris prize 2010 iris prize international film competition celebrating short film made lesbiangay queer filmmaker home
Chapter,63LpA6C_479c1Wdermxl-g,5,"Chapter isn't just a cinema, its a centre for arts of all kinds in Cardiff. It has quirky art displays, great theatre and dance performances, comedy nights...",2010-05-04 08:22:19,chapter isnt cinema centre art kind cardiff quirky art display great theatre dance performance comedy night
Chapter,Ro0oM4jRjY3MVYD7i2zWxQ,5,"Chapter Art Centre, as a single entity, offers one of the most comprehensive programme of events to be seen outside of London. Comprised of a cinema,...",2010-06-19 10:16:09,chapter art centre single entity offer one comprehensive programme event seen outside london comprised cinema
Pieminister,Bdn8mzhfXgguEtrWeU8thA,5,"Definitely recommend if you are traveling from out of the country. All of the pies look great, but the Chicken Pot Pie and the Stilton Cheese/Beef were a...",2022-09-11 13:17:24,definitely recommend traveling country pie look great chicken pot pie stilton cheesebeef
Pieminister,Zd7ACVBZ2FPR9LU-WBUT-A,4,Early dinner on a Saturday when the city center was really busy- this place wasn't packed yet since we were before the dinner rush. Good service! Food came...,2022-04-30 12:11:43,early dinner saturday city center really busy place wasnt packed yet since dinner rush good service food came
Pieminister,_hh6WUY6zgTIcGw3tPryZw,3,Food was awesome but overpriced and service abysmal due to being understaffed gave them a second chance and service was even worse again due to being...,2022-09-20 06:15:55,food awesome overpriced service abysmal due understaffed gave second chance service even worse due
New York Deli,wRNSkFE9cnevOWUTT17lpA,5,"Open since 1990, The New York Deli is home of the kinda sandwiches that you see on Man Vs. Food that make you shout  at the television - I could eat that!?...",2015-03-27 03:27:49,open since 1990 new york deli home kinda sandwich see man v food make shout television could eat
New York Deli,fGlXhMv4WNpHdvlfRE_TTg,3,"The food here is great, but I can't stand sitting in the shop during the winter. They won't close the doors so it's absolutely freezing inside. I'd love to...",2022-12-14 06:29:24,food great cant stand sitting shop winter wont close door absolutely freezing inside id love
New York Deli,KhcAwCY3pqbIOdsvyOgidw,4,FINALLY managed to make it to New York Deli after living in Cardiff for years. I'm an American and always had it in the back of my mind that I needed to...,2020-01-12 06:10:28,finally managed make new york deli living cardiff year im american always back mind needed
Cafe Citta,oO4KEWbzUBnCxLVjvRbAbw,5,This place is fantastic great food service what more do you need for a great night out I'd book very popular.,2022-01-21 09:44:44,place fantastic great food service need great night id book popular
Cafe Citta,sBeIHwKFUf3C5yXJYUpw4A,5,"Cafe Citta is a TINY little restaurant tucked away and is very inconspicuous. If you didn't do extensive foodie research, you might end up missing it...",2018-02-03 11:31:37,cafe citta tiny little restaurant tucked away inconspicuous didnt extensive foodie research might end missing
Cafe Citta,gijI4wBkHwTIM-qDM31n1w,5,I was at Cardiff on a work trip from New York and stumbled upon this little gem of an Italian wine bar. Super cute and a lovely warm ambience as well....,2018-06-12 17:17:05,cardiff work trip new york stumbled upon little gem italian wine bar super cute lovely warm ambience well
Zerodegrees,t1b3FCp2NI8MPSL8qdD8LQ,5,Large place that is welcome to tourists. Carne pizza was amazing. Had a tinge of spice and all the other flavors meddled together to make it a solid pizza...,2019-07-21 11:06:47,large place welcome tourist carne pizza amazing tinge spice flavor meddled together make solid pizza
Zerodegrees,tCE_Og8bkUM5wbEfSgxh6g,1,"Ordered the pulled pork pizza and cannot understand why this dish had to be so spicy!!!! I do eat spicy food sometimes, but this is that uncomfortable can't...",2018-09-21 12:59:39,ordered pulled pork pizza understand dish spicy eat spicy food sometimes uncomfortable cant
Zerodegrees,ju0nulvmsKGZBM8isfASDQ,4,We happened upon this place by chance as we drove by it early in the morning. I noticed all the brewing kit at first and just thought it was a micro...,2014-12-23 12:33:57,happened upon place chance drove early morning noticed brewing kit first thought micro
Mezza Luna,VZ6wTxjaMvI7DOM7-q9gsQ,5,"Top notch Tagine in Cardiff? Why not! Mezza Luna came recommended by fellow Yelpers and was a delight. Wait staff and servers were charming and helpful,...",2018-09-03 05:35:47,top notch tagine cardiff mezza luna came recommended fellow yelpers delight wait staff server charming helpful
Mezza Luna,NLtmqrzVIQUA6xuJ6KSg_g,5,"Friendly staff, great food. Reasonable prices. 
We had the aubergine, chicken and apricot, and seafood tagines. Each one was tasty. The smoked aubergine...",2018-05-28 06:35:54,friendly staff great food reasonable price aubergine chicken apricot seafood tagines one tasty smoked aubergine
Mezza Luna,cV8vsKFjGRhor7rBke218g,4,"The best Middle-eastern food place in Cardiff.
If you're in the mood for an authentic middle-eastern mixed grill, tabouleh and hummus this is the place for...",2016-02-19 04:08:23,best middleeastern food place cardiff youre mood authentic middleeastern mixed grill tabouleh hummus place
The Prince of Wales,_OqEAui-xWuuGOcOyhKbKQ,5,"As all
Wetherspoons this one is fgood with their truly unbeatable deals & prices. Nice selection of ales as well.",2022-10-04 11:26:27,wetherspoons one fgood truly unbeatable deal price nice selection ale well
The Prince of Wales,txwRR8ce88yN503HOLhD0Q,4,"Good spot to try some traditional Welsh food, well for a tourist like me anyway. The lamb meatballs with mash, sauce and peas are very good. All covered in...",2021-12-19 02:53:16,good spot try traditional welsh food well tourist like anyway lamb meatball mash sauce pea good covered
The Prince of Wales,UMoSM8Yym5PPmbh3ih9XVQ,5,I visited here on one of the coldest days in Cardiff and had about 3 places in mind to try Welsh food but decided to give this one a try because it was...,2018-03-10 13:23:17,visited one coldest day cardiff 3 place mind try welsh food decided give one try
