business_name,review_id,rating,text,time_created,preprocessed_text
Tayyabs,M2_rr-Fw5KrdszN-sAdJhw,4,"The antithesis of Dishoom in the best way possible. I'm
not the biggest Indian/Pakistani food fan but being that I've heard it's so good in London I've...",2023-02-07 15:16:23,antithesis dishoom best way possible im biggest indianpakistani food fan ive heard good london ive
Tayyabs,bViXnvQNp4fx_VpsvaQRwQ,4,Heard this place could have long waits in the evening so came when it opened at noon on a Bank holiday and it was pretty empty.  Was a single diner so only...,2023-01-02 06:08:37,heard place could long wait evening came opened noon bank holiday pretty empty single diner
Tayyabs,VD-gAVPxtUvrIWJbwgUq7w,4,"Suggested as a must-visit for Indian food while in London, Tayyabs did not disappoint.
TLDR: Good Indian food; quick service; polite servers

Tayyabs was a...",2022-12-27 11:16:34,suggested mustvisit indian food london tayyabs disappoint tldr good indian food quick service polite server tayyabs
Dishoom,cMVLaD6Sp4dm4HLr4B0iTg,4,"Wonderful place, great atmosphere, friendly helpful and informative staff. Amazing cuisine, flavoursome   Dishes I'd definitely return",2023-01-21 09:35:49,wonderful place great atmosphere friendly helpful informative staff amazing cuisine flavoursome dish id definitely return
Dishoom,1sCriJfUW7I1ZBElrFlqlA,5,the food here is great. highly recommend reservation vs waiting it out in the 20-30 person line that we saw on a friday at 6pm. the one downside is that it...,2023-01-23 02:21:12,food great highly recommend reservation v waiting 2030 person line saw friday 6pm one downside
Dishoom,gAJ9qqzr_Xa7SWHAHbnr_g,5,"I have read that this is one of the most popular restaurants in London. It deserves this title. 

I had a Jain dish of tofu and bell peppers it was very...",2023-01-01 08:21:46,read one popular restaurant london deserves title jain dish tofu bell pepper
Dishoom,EYcQz2hPb-A5Om5s9--IFg,5,"This restaurant has very interesting cocktail menu. I ordered Bollybelini, fruity and pinky. All food is delish and tasty. Each plate is in small portion to...",2023-02-22 10:30:46,restaurant interesting cocktail menu ordered bollybelini fruity pinky food delish tasty plate small portion
Dishoom,fD4pG3-raQR1nffrnEfBVw,5,"Worth the hype, but don't wait in line, make sure to get a reservation ahead. The restaurant is huge with a big downstairs seating area. The food is...",2023-02-11 17:57:03,worth hype dont wait line make sure get reservation ahead restaurant huge big downstairs seating area food
Dishoom,Kqp_WyOArck9obxfP9MtNw,5,"Tried this place while on a trip to London and absolutely loved it! Some of the best food I've eaten, let alone Indian food. My bf is Indian and claims that...",2023-01-21 13:57:53,tried place trip london absolutely loved best food ive eaten let alone indian food bf indian claim
Duck & Waffle,Yrm4nU28sEo3-lWNuhMDuQ,5,"Amazing restaurant, high in the sky!! Wonderful, inventive, delicious food and attentive service. Our waiter, Chris, was excellent and very knowledgeable...",2023-02-15 23:14:36,amazing restaurant high sky wonderful inventive delicious food attentive service waiter chris excellent knowledgeable
Duck & Waffle,MWCuBMQSbdf-lGAUhRxBhw,5,One of the things I could improve upon in my tactics for identifying places to eat in new cities is my process for finding breakfast places. More often than...,2023-01-09 09:51:57,one thing could improve upon tactic identifying place eat new city process finding breakfast place often
Duck & Waffle,9I4prI9c26kmtHnWtpK0kA,5,"Incredibly attentive staff, delicious food, amazing view of London. This was our last dinner on a girls trip and boy was it a great send-off. Each dish was...",2023-01-09 05:52:42,incredibly attentive staff delicious food amazing view london last dinner girl trip boy great sendoff dish
Poppies,QPCGWhq-ffcBu_akW0iY8w,4,"Came here at the recommendation of someone who lived in London for many years and dubbed Poppies ""the best fish and chips ever."" He certainly did not lie. I...",2023-01-27 06:13:10,came recommendation someone lived london many year dubbed poppy best fish chip ever certainly lie
Poppies,EsqZyvgMxKGGmCmbMTK5pQ,4,Before I left London I had to try some traditional English Fish and Chips! My friend got us an online reservation ahead of time so we were able to skip the...,2022-12-28 12:14:54,left london try traditional english fish chip friend got u online reservation ahead time able skip
Poppies,laofY5NM5RN9Mq4Nm-8TFw,4,"Stopped by for fish and chips after visiting the Dennis Severs' house.

It was really bright and bustling but we were seated right away. The place really...",2022-12-17 08:42:43,stopped fish chip visiting dennis severs house really bright bustling seated right away place really
Hawksmoor Spitalfields,ilKQaDTOaBfY9KgKqh-9sw,5,"Very good service, customer service were excellent! good ambience and good environment. The steak was perfectly cooked with medium, perfectly seasoned and...",2023-01-26 04:31:35,good service customer service excellent good ambience good environment steak perfectly cooked medium perfectly seasoned
Hawksmoor Spitalfields,xySH8D7TzCgyweUeKCsgpA,5,"Amazing steak, friendly and knowledgeable staff and awesome food overall. 

My friend and I shared a steak, the bone marrow, and the asparagus and Mac &...",2022-05-13 03:09:42,amazing steak friendly knowledgeable staff awesome food overall friend shared steak bone marrow asparagus mac
Hawksmoor Spitalfields,vAKR0ymQQazXkq-9yCMerw,4,"One of the best Sunday Roasts ever!

We literally just randomly picked coming here and it was one of the best places! Our server was so nice and helpful and...",2022-06-14 00:29:20,one best sunday roast ever literally randomly picked coming one best place server nice helpful
E Pellicci,wfHjG0_ZY1Cntvfp3Ha_YQ,5,This is a very small place.  But there was a line (queue).  I can see why.  The food was very good.  The server was extremely friendly and gregarious.  We...,2022-12-16 13:23:46,small place line queue see food good server extremely friendly gregarious
